x,Curve1
0,0.14398
0.00175,0.333
0.00351,0.19273
0.01754,0.4298
0.02456,0.4794
0.02807,0.26757
0.05439,0.4972
0.0807,2.7582
0.25088,1.2829
0.28947,1.1088
0.55088,1.4842
0.57895,1.5393
0.5807,1.7172
0.70877,1.4311
0.75614,11.43
0.75965,2.1371
0.76316,3.077
0.76491,5.316
0.77193,5.93
0.79123,1.9868
0.80877,34.12
0.81754,1.9868
0.82281,0.7425
0.8386,1.1088
0.84912,2.0606
0.85614,0.6656
0.86491,1.1927
0.8807,1.8471
0.90526,39.47
0.92456,32.9
0.95965,19.041
0.96316,7.116
0.97193,54.8
0.97719,84.87
0.98246,10.626
0.98596,0.5753
0.99123,20.481
0.99474,8.856
1,36.7
