x,po
0.2573,-0.00262
1.28236,0.00375
1.40614,0.00401
1.78236,0.00375
1.79769,0.01326
1.86684,0.01025
1.95617,0.01464
2,0
2.07937,0.00332
2.15416,0.01401
2.20919,0.0257
2.23827,0.11313
2.24484,0.04578
2.25787,0.00896
2.31259,0.01434
2.35006,0.07126
2.40181,0.41664
2.43819,0.25145
2.45383,0.06727
2.50047,0.20947
2.54008,0.20956
2.57526,0.52016
2.57567,0.72858
2.59193,0.35704
2.64587,0.24662
2.68965,0.53093
2.9482,0.85358
3.05993,0.81065
3.32682,0.90174
3.33365,0.83965
3.33568,0.78071
3.38905,0.85871
3.40359,0.85243
3.49072,0.91261
3.55321,0.97485
4.31155,0.99329
4.3202,0.96804
4.33865,0.94071
4.78148,0.98586
4.84761,1.02178
4.89994,0.97874
4.90562,0.99349
5.01444,0.99161
5.1134,0.99077
5.14697,0.96873
5.20299,1.00043
5.45737,0.93886
5.49521,0.80315
5.50902,0.98212
5.55696,0.95065
5.6602,0.93613
5.82489,0.66279
5.82791,0.82385
5.83167,0.79965
5.85022,0.87442
5.8669,0.9113
6.01683,0.74004
6.02465,0.69795
6.08823,0.78229
6.10783,0.67812
6.18757,0.68882
6.25912,0.63423
6.37122,0.59868
6.49203,0.43893
6.53236,0.45375
6.69418,0.12251
6.69674,0.1741
6.83021,0.07017
6.83974,0.16282
6.86309,0.13445
6.93981,0.08408
6.94616,0.11252
7.15906,0.11297
7.20075,0.05516
